id,estado,antiguedad,modalidad,value
1234,Oaxaca,8.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1235,Veracruz,2.0,c.	Mixta,Impartición de capacitación
1236,Baja California Sur,0.3,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1237,Puebla,27.0,b.	Distancia,Impartición de capacitación
1238,Chiapas,1.0,c.	Mixta,Diseño de materiales de capacitación
1239,Colima,19.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1240,Guerrero,19.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1241,Michoacán,14.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1242,Ciudad de México,1.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
1243,Hidalgo,4.0,a.	Presencial,Administración de base de datos
1244,Nuevo León,10.0,a.	Presencial,Atención de asuntos jurídicos
1245,Durango,14.0,c.	Mixta,Atención de asuntos jurídicos
1246,Michoacán,28.0,c.	Mixta,Administración de base de datos
1247,Guanajuato,3.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1248,Puebla,27.0,b.	Distancia,Atención de asuntos jurídicos
1249,Yucatán,11.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
1250,Ciudad de México,4.0,b.	Distancia,Atención de asuntos jurídicos
1251,Coahuila,10.0,c.	Mixta,Impartición de capacitación
1252,Michoacán,10.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
1253,Jalisco,13.0,a.	Presencial,Desarrollo de sistemas
1254,Durango,0.0,b.	Distancia,Distribución de documentación y material electoral
1255,Ciudad de México,7.0,b.	Distancia,Fiscalización a los sujetos obligados
1256,Ciudad de México,12.0,b.	Distancia,Selección de personal
1257,Veracruz,25.0,a.	Presencial,Procesamiento informático
1258,México,32.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1259,Veracruz,10.0,b.	Distancia,Diseño de materiales de capacitación
1260,Coahuila,29.0,b.	Distancia,Selección de personal
1261,Coahuila,0.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1262,Jalisco,18.0,b.	Distancia,Construcción de la cartografía electoral
1263,Chiapas,22.0,c.	Mixta,Almacenamiento de documentación y material electoral
1264,Ciudad de México,20.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1265,Ciudad de México,4.0,c.	Mixta,Construcción de la cartografía electoral
1266,Nuevo León,7.0,c.	Mixta,Impartición de capacitación
1267,México,13.0,b.	Distancia,Construcción de la cartografía electoral
1268,Guanajuato,21.0,c.	Mixta,Depuración del padrón electoral
1269,Veracruz,29.0,b.	Distancia,Selección de personal
1270,Sinaloa,2.0,c.	Mixta,Atención de asuntos jurídicos
1271,Durango,17.0,a.	Presencial,Diseño de materiales de capacitación
1272,México,2.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
1273,Ciudad de México,1.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1274,Guerrero,14.0,b.	Distancia,Atención de asuntos jurídicos
1275,San Luis Potosí,20.0,c.	Mixta,Diseño de materiales de capacitación
1276,Aguascalientes,32.0,c.	Mixta,Diseño de programas de capacitación
1277,Puebla,20.0,b.	Distancia,Selección de personal
1278,Ciudad de México,22.0,a.	Presencial,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1279,México,22.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1280,Yucatán,31.0,c.	Mixta,Atención de asuntos jurídicos
1281,Puebla,1.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1282,Guanajuato,1.0,b.	Distancia,Impartición de capacitación
1283,Hidalgo,1.0,a.	Presencial,Atención de asuntos jurídicos
1284,Sinaloa,7.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
1285,Sinaloa,13.0,a.	Presencial,Selección de personal
1286,Puebla,14.0,b.	Distancia,Administración de base de datos
1287,Guerrero,13.0,b.	Distancia,Almacenamiento de documentación y material electoral
1288,Tabasco,2.0,c.	Mixta,"Planeación de planes, programas y proyectos"
1289,Puebla,10.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
1290,Chiapas,13.0,c.	Mixta,Impartición de capacitación
1291,Oaxaca,18.0,c.	Mixta,Construcción de la cartografía electoral
1292,Nayarit,30.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1293,Sonora,21.0,c.	Mixta,Almacenamiento de documentación y material electoral
1294,Puebla,13.0,b.	Distancia,Fiscalización a los sujetos obligados
1295,Tabasco,8.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1296,San Luis Potosí,4.5,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1297,Guerrero,32.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1298,Chiapas,11.0,c.	Mixta,Atención de asuntos jurídicos
1300,San Luis Potosí,30.0,c.	Mixta,Atención de asuntos jurídicos
1301,Hidalgo,7.0,c.	Mixta,Operación de módulos de atención ciudadana
1302,Michoacán,13.0,c.	Mixta,Administración de base de datos
1303,Chiapas,10.0,c.	Mixta,Administración de los tiempos del estado en radio y televisión
1304,Chiapas,31.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
1305,Coahuila,20.0,a.	Presencial,Desarrollo de sistemas
1306,Guanajuato,17.0,c.	Mixta,Depuración del padrón electoral
1307,Tlaxcala,27.0,c.	Mixta,Administración de base de datos
1308,Ciudad de México,15.0,b.	Distancia,Atención de asuntos jurídicos
1309,Hidalgo,28.0,a.	Presencial,Procesamiento informático
1310,Yucatán,1.0,a.	Presencial,Selección de personal
1311,Ciudad de México,1.0,b.	Distancia,Diseño de materiales de capacitación
1312,Tabasco,25.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1313,Guerrero,27.0,b.	Distancia,Desarrollo de normativa
1314,México,8.0,c.	Mixta,Administración de tecnología de información y comunicaciones
1315,México,25.0,c.	Mixta,Selección de personal
1316,Coahuila,5.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1317,México,1.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1318,México,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1319,Nuevo León,20.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1320,México,8.0,b.	Distancia,Diseño de materiales de capacitación
1321,Nuevo León,1.0,b.	Distancia,Depuración del padrón electoral
1322,México,25.0,b.	Distancia,Selección de personal
1323,Chihuahua,13.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
1324,Chihuahua,14.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
1325,Michoacán,5.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
1326,Quintana Roo,10.0,c.	Mixta,Construcción de la cartografía electoral
1327,Nuevo León,26.0,b.	Distancia,Construcción de la cartografía electoral
1328,Chiapas,22.0,c.	Mixta,Atención de asuntos jurídicos
1329,Veracruz,21.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
1330,Baja California,1.0,c.	Mixta,Almacenamiento de documentación y material electoral
1331,Puebla,15.0,b.	Distancia,Diseño de programas de capacitación
1332,Puebla,4.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
1333,México,16.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1334,Jalisco,28.0,c.	Mixta,Diseño de programas de capacitación
1335,Veracruz,13.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1336,Aguascalientes,29.0,c.	Mixta,Administración de base de datos
1337,Yucatán,17.0,b.	Distancia,Atención de asuntos jurídicos
1338,Tabasco,3.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1339,Puebla,28.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
1340,México,1.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1341,México,25.0,b.	Distancia,Diseño de materiales de capacitación
1342,Yucatán,31.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1343,México,21.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1344,México,27.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1345,Jalisco,8.0,b.	Distancia,Diseño de programas de capacitación
1346,Puebla,2.0,c.	Mixta,Selección de personal
1347,Ciudad de México,13.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1348,Quintana Roo,29.0,b.	Distancia,Diseño de materiales de capacitación
1349,Veracruz,13.0,b.	Distancia,Diseño de programas de capacitación
1350,Zacatecas,10.0,c.	Mixta,Administración de base de datos
1351,Zacatecas,15.0,b.	Distancia,Verificación del padrón electoral
1352,Zacatecas,20.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1353,Puebla,1.0,b.	Distancia,Impartición de capacitación
1354,Jalisco,27.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1355,Puebla,19.0,a.	Presencial,Desarrollo de sistemas
1356,Puebla,20.0,c.	Mixta,Diseño de materiales de capacitación
1357,Zacatecas,1.5,c.	Mixta,Selección de personal
1358,México,31.0,b.	Distancia,Construcción de la cartografía electoral
1359,Ciudad de México,23.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
1360,Jalisco,17.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1361,México,20.0,b.	Distancia,Selección de personal
1362,Coahuila,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1363,Sinaloa,19.0,b.	Distancia,Verificación del padrón electoral
1364,Sonora,10.0,b.	Distancia,Almacenamiento de documentación y material electoral
1365,Zacatecas,29.0,b.	Distancia,Diseño de materiales de capacitación
1366,Morelos,22.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1367,Guerrero,20.0,c.	Mixta,Administración de tecnología de información y comunicaciones
1368,Chiapas,10.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1369,Ciudad de México,13.0,b.	Distancia,Atención de asuntos jurídicos
1370,Tlaxcala,22.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1371,Jalisco,31.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1372,México,8.0,b.	Distancia,Construcción de la cartografía electoral
1373,Sinaloa,7.0,c.	Mixta,Selección de personal
1374,Querétaro,14.0,c.	Mixta,Administración de base de datos
1375,Guanajuato,11.0,c.	Mixta,Operación de módulos de atención ciudadana
1376,Aguascalientes,28.0,b.	Distancia,Diseño de programas de capacitación
1377,Aguascalientes,28.0,b.	Distancia,Diseño de programas de capacitación
1378,Nayarit,29.0,b.	Distancia,Depuración del padrón electoral
1379,Puebla,10.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1380,Ciudad de México,23.0,b.	Distancia,Atención de asuntos jurídicos
1381,Veracruz,31.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1382,Guanajuato,21.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
1383,México,17.0,c.	Mixta,Gestión de franquicias postales y/o telegráficas
1384,Coahuila,10.0,b.	Distancia,Diseño de materiales de capacitación
1385,Nuevo León,4.0,c.	Mixta,Administración de base de datos
1386,México,28.0,b.	Distancia,Atención de asuntos jurídicos
1387,Baja California,25.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1388,México,20.0,b.	Distancia,Atención de asuntos jurídicos
1389,Guerrero,26.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1390,Ciudad de México,4.0,b.	Distancia,Atención de asuntos jurídicos
1391,Tamaulipas,30.0,c.	Mixta,Selección de personal
1392,Yucatán,1.0,b.	Distancia,Fiscalización a los sujetos obligados
1393,Quintana Roo,1.0,b.	Distancia,Almacenamiento de documentación y material electoral
1394,Guanajuato,31.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1395,Quintana Roo,6.0,a.	Presencial,Desarrollo de sistemas
1396,Sonora,25.0,b.	Distancia,Almacenamiento de documentación y material electoral
1397,Tlaxcala,23.0,b.	Distancia,Selección de personal
1398,Durango,2.0,c.	Mixta,Fiscalización a los sujetos obligados
1399,México,14.0,b.	Distancia,Diseño de materiales de capacitación
1400,Sinaloa,1.0,a.	Presencial,Administración de base de datos
1401,Hidalgo,26.0,c.	Mixta,Construcción de la cartografía electoral
1402,Sonora,25.0,c.	Mixta,Administración de base de datos
1403,Ciudad de México,22.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
1404,México,10.0,b.	Distancia,Verificación del padrón electoral
1405,Jalisco,19.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1406,Ciudad de México,23.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
1407,Ciudad de México,7.0,b.	Distancia,Atención de asuntos jurídicos
1408,Ciudad de México,8.0,b.	Distancia,Desarrollo de sistemas
1409,México,16.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1410,Nayarit,11.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1411,Sonora,5.0,b.	Distancia,Diseño de programas de capacitación
1412,Guerrero,8.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1413,Coahuila,29.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
